Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Gabon,53147040.0,337196.0,-0.803689,11.609444,2436566.0,9.0,257670.0
Gambia,14013614.0,418818.0,13.443182,-15.310139,2773168.0,274.0,10120.0
Georgia,1717668300.0,17164588.0,42.315407,43.356892,3728282.0,54.0,69490.0
Germany,30692981627.0,178143287.0,51.165691,10.451526,83294633.0,239.0,348560.0
Ghana,193952028.0,1621318.0,7.946527,-1.023194,34121985.0,150.0,227540.0
Gibraltar,18962375.0,128381.0,36.140751,-5.353585,32688.0,3269.0,10.0
Greece,4288615357.0,34753181.0,39.074208,21.824312,10341277.0,80.0,128900.0
Greenland,10431590.0,17451.0,71.706936,-42.604303,56643.0,0.0,410450.0
Grenada,16812889.0,223363.0,12.262776,-61.604171,126183.0,371.0,340.0
Guadeloupe,173762012.0,1032254.0,16.265,-61.551,395839.0,234.0,1690.0
Guam,45869135.0,415855.0,13.444304,144.793731,172952.0,320.0,540.0
Guatemala,1128555937.0,21275661.0,15.783471,-90.230759,18092026.0,169.0,107160.0
Guernsey,27785454.0,61674.0,49.465691,-2.5852779999999997,,,
Guinea,44103026.0,496509.0,9.945587,-9.696645,14190612.0,58.0,245720.0
Guinea-Bissau,10022862.0,192362.0,11.803749,-15.180413,2150842.0,76.0,28120.0
Guyana,69749322.0,1318512.0,4.860416,-58.93018,813834.0,4.0,196850.0
Haiti,37284098.0,951306.0,18.971187,-72.285215,11724763.0,425.0,27560.0
Honduras,510688889.0,12625450.0,15.199999,-86.241905,10593798.0,95.0,111890.0
Hong Kong,,,22.3193,114.1694,7491609.0,7135.0,1050.0
Hungary,2117751957.0,51724906.0,47.162494,19.503304,10156239.0,112.0,90530.0
Iceland,173041155.0,149916.0,64.963051,-19.020835,375318.0,4.0,100250.0
India,48926651289.0,599302657.0,20.593684,78.96288,1428627663.0,481.0,2973190.0
Indonesia,6695849682.0,171691661.0,-0.789275,113.921327,277534122.0,153.0,1811570.0
Iran,7963291761.0,165058297.0,32.427908,53.688046,89172767.0,55.0,1628550.0
Iraq,2694024450.0,30307634.0,33.223191,43.679291,45504560.0,105.0,434320.0
Ireland,1560644777.0,9684389.0,53.41291,-8.24389,5056935.0,73.0,68890.0
Isle of Man,32997690.0,121363.0,54.236107,-4.548056,84710.0,149.0,570.0
Israel,4351336977.0,13151763.0,31.046051,34.851612,9174520.0,424.0,21640.0
Italy,21644870561.0,212975311.0,41.87194,12.56738,58870762.0,200.0,294140.0
Jamaica,151303278.0,3415330.0,18.109581,-77.297508,2825544.0,261.0,10830.0
Japan,22205908646.0,55124955.0,36.204824,138.252924,123294513.0,338.0,364555.0
Jersey,55243548.0,162491.0,49.214439,-2.13125,,,
Jordan,1760122966.0,15670504.0,30.585164,36.238414,11337052.0,128.0,88780.0
Kazakhstan,1527048880.0,20519685.0,48.019573,66.923684,19606633.0,7.0,2699700.0
Kenya,372730864.0,6430744.0,-1.292066,36.821946,55100586.0,97.0,569140.0
Kiribati,3629216.0,15515.0,-3.3704169999999998,-168.734039,133515.0,165.0,810.0
Kosovo,273433522.0,3725686.0,42.602636,20.902977,,,
Kuwait,706599839.0,3055221.0,29.31166,47.481766,4310108.0,242.0,17820.0
Kyrgyzstan,86736591.0,1002493.0,41.20438,74.766098,6735347.0,35.0,191800.0
Laos,188695396.0,591359.0,19.85627,102.495496,7633779.0,33.0,230800.0
Latvia,842080629.0,7068571.0,56.879635,24.603189,1830211.0,29.0,62200.0
Lebanon,1241182104.0,11988017.0,33.854721,35.862285,5353930.0,523.0,10230.0
Lesotho,35729467.0,773159.0,-29.609988,28.233608,2330318.0,77.0,30360.0
Liberia,8584085.0,342909.0,6.428055,-9.429499,5418377.0,56.0,96320.0
Libya,531762385.0,6998800.0,26.3351,17.228331,6888388.0,4.0,1759540.0
Liechtenstein,18481038.0,97067.0,47.166,9.555373,39584.0,247.0,160.0
Lithuania,1199335974.0,9911655.0,55.169438,23.881275,2718352.0,43.0,62674.0
Low income,2418626451.0,52676112.0,,,,,
Luxembourg,324040855.0,1037840.0,49.815273,6.129583,654768.0,253.0,2590.0
Macao,,,22.198745,113.543873,704149.0,23472.0,30.0
Madagascar,74384711.0,1533965.0,-18.766947,46.869107,30325732.0,52.0,581795.0
Malawi,93834029.0,2915225.0,-13.254308,34.301525,20931751.0,222.0,94280.0
Malaysia,4651794185.0,36117828.0,4.210484,101.975766,34308525.0,104.0,328550.0
Maldives,181864582.0,335686.0,3.202778,73.22068,521021.0,1737.0,300.0
Mali,33859404.0,854190.0,17.570692,-3.996166,23293698.0,19.0,1220190.0
Malta,109131465.0,881892.0,35.937496,14.375416,535064.0,1672.0,320.0
Marshall Islands,10222619.0,10972.0,7.131474,171.184478,41996.0,233.0,180.0
Martinique,190106957.0,1022236.0,14.641528,-61.024174,366981.0,346.0,1060.0
Mauritania,65363379.0,1151580.0,21.00789,-10.940835,4862989.0,5.0,1030700.0
Mauritius,247072426.0,937138.0,-20.348404,57.552152,1300557.0,641.0,2030.0
Mayotte,42809129.0,229451.0,-12.8275,45.166244,335995.0,896.0,375.0
