id,Country,Population,Density(P/KMsq),Land_Area
190,Curaçao,192077,433,444
191,Saint Lucia,180251,295,610
192,Guam,172952,320,540
193,Kiribati,133515,165,810
194,Grenada,126183,371,340
195,Tonga,107773,150,720
196,Seychelles,107660,234,460
197,Aruba,106277,590,180
198,St. Vincent & Grenadines,103698,266,390
199,U.S. Virgin Islands,98750,282,350
200,Antigua and Barbuda,94298,214,440
201,Isle of Man,84710,149,570
202,Andorra,80088,170,470
203,Dominica,73040,97,750
204,Cayman Islands,69310,289,240
205,Bermuda,64069,1281,50
206,Greenland,56643,0,410450
207,Faeroe Islands,53270,38,1396
208,Northern Mariana Islands,49796,108,460
209,Saint Kitts & Nevis,47755,184,260
210,Turks and Caicos,46062,48,950
211,Sint Maarten,44222,1301,34
212,American Samoa,43914,220,200
213,Marshall Islands,41996,233,180
214,Liechtenstein,39584,247,160
215,Monaco,36297,24360,1
216,San Marino,33642,561,60
217,Gibraltar,32688,3269,10
218,Saint Martin,32077,605,53
219,British Virgin Islands,31538,210,150
220,Caribbean Netherlands,27148,83,328
221,Palau,18058,39,460
222,Cook Islands,17044,71,240
223,Anguilla,15899,177,90
224,Nauru,12780,639,20
225,Wallis & Futuna,11502,82,140
226,Tuvalu,11396,380,30
227,Saint Barthelemy,10994,524,21
228,Saint Pierre & Miquelon,5840,25,230
229,Saint Helena,5314,14,390
230,Montserrat,4386,44,100
231,Falkland Islands,3791,0,12170
232,Niue,1935,7,260
233,Tokelau,1893,189,10
234,Holy See,518,1295,0
