Row Labels,Sum of total_cases,Sum of icu_patients,Count of continent,Sum of total_deaths
Peru,4481344550,,1604,267655670
Philippines,4102131707,,1604,66763515
Pitcairn,2692,,1604,
Poland,6542223249,,1604,128711768
Portugal,4879762372,141364,1604,29130485
Puerto Rico,978635966,,1604,5795442
Qatar,507962241,,1604,816673
Reunion,406897046,,1604,836910
Romania,3285644092,64266,1604,72065917
Russia,21020726368,,1604,401887919
Rwanda,136315977,,1604,1541776
Saint Barthelemy,4905780,,1604,4793
Saint Helena,1310536,,1604,
Saint Kitts and Nevis,5889512,,1604,41724
Saint Lucia,27262441,,1604,389407
Saint Martin (French part),11236740,,1604,50446
Saint Pierre and Miquelon,2657798,,1604,1381
Saint Vincent and the Grenadines,9134069,,1604,111424
Samoa,12486990,,1604,22802
San Marino,21143669,,1604,149030
Sao Tome and Principe,6676350,,1604,84885
Saudi Arabia,946219903,,1604,11937121
Scotland,,41419,1305,
Senegal,98857944,,1604,2253766
Serbia,2356431267,98884,1604,17851649
Seychelles,46921574,,1604,170524
Sierra Leone,9082538,,1604,161328
Singapore,1907130895,,1604,1533211
Sint Maarten (Dutch part),10558700,,1604,98582
Slovakia,1724408387,149542,1604,22106282
Slovenia,1166783680,73147,1604,9566661
Solomon Islands,17978098,,1604,135726
Somalia,29893849,,1604,1496596
South Africa,4406224942,701590,1604,116529899
South America,68678907616,,,1552175246
South Korea,23237609843,327598,1604,26860886
South Sudan,20191059,,1604,174636
Spain,13313618559,1108327,1604,141002109
Sri Lanka,690973484,,1604,16702899
Sudan,71256219,,1604,5414583
Suriname,80518286,,1604,1424547
Sweden,2677617636,122145,1604,26491284
Switzerland,3862126593,149218,1604,16418555
Syria,60476936,,1604,3454520
Taiwan,,,1348,
Tajikistan,23112795,,1604,164219
Tanzania,39465581,,1604,847545
Thailand,4193461896,,1605,30828830
Timor,23764562,,1604,135560
Togo,40144077,,1604,314114
Tokelau,26806,,1604,
Tonga,12425284,,1604,9378
Trinidad and Tobago,167756978,,1604,4007557
Tunisia,1152352410,,1604,31552873
Turkey,16404821691,,1604,107437256
Turkmenistan,,,1604,
Turks and Caicos Islands,6589267,,1604,40241
Tuvalu,1604956,,1604,344
Uganda,179413540,,1604,3801083
Ukraine,5444554847,,1604,112567027
United Arab Emirates,1122625860,,1604,2760461
United Kingdom,23021744756,703291,1604,261355366
United States,98673905427,10638333,1604,1218863185
United States Virgin Islands,21873432,,1604,128974
Upper middle income,1.95E+11,,,2902133337
Uruguay,955851648,,1604,7991521
Uzbekistan,162130469,,1604,990172
Vanuatu,9086560,,1604,10759
Vatican,36524,,1604,
Venezuela,583892074,,1604,6302055
Vietnam,9435139451,,1604,40259697
Wales,,34884,1198,
Wallis and Futuna,2365350,,1604,8094
Western Sahara,,,1,
World,6.61E+11,,,7516505497
Yemen,13137134,,1604,2465452
Zambia,349153234,,1604,4421391
Zimbabwe,257453691,,1604,5978413
Grand Total,2.80E+12,25851978,385141,31400809180
