Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Botswana,330638,2801,-22.328474,24.684866,2675352,5,566730
Montenegro,296542,2846,42.708678,19.374390000000002,626485,47,13450
Algeria,272010,6881,28.033886,1.6596259999999998,45606480,19,2381740
Nigeria,267188,3155,9.081999,8.675277,223804632,246,910770
Zimbabwe,266359,5740,-19.015438,29.154857,16665409,43,386850
Uzbekistan,253662,1637,41.377491,64.585262,35163944,83,425400
Afghanistan,234174,7996,33.93911,67.709953,42239854,65,652860
Mozambique,233731,2250,-18.665695,35.529562,33897354,43,786380
Martinique,230354,1102,14.641528,-61.024174,366981,346,1060
Laos,218970,758,19.85627,102.495496,7633779,33,230800
Iceland,209906,229,64.963051,-19.020835,375318,4,100250
Kyrgyzstan,206897,2991,41.20438,74.766098,6735347,35,191800
Guadeloupe,203235,1021,16.265,-61.551,395839,234,1690
El Salvador,201855,4230,13.794185,-88.89653,6364943,307,20720
Trinidad and Tobago,191496,4390,10.691803,-61.222503,1534937,299,5130
Maldives,186694,316,3.202778,73.22068,521021,1737,300
Namibia,172389,4106,-22.95764,18.49041,2604172,3,823290
Uganda,172149,3632,1.373333,32.290275,48582334,243,199810
Ghana,171889,1462,7.946527,-1.023194,34121985,150,227540
Jamaica,156869,3756,18.109581,-77.297508,2825544,261,10830
Cambodia,139103,3056,12.565679,104.990963,16944826,96,176520
Rwanda,133518,1468,-1.940278,29.873888,14094683,571,24670
Cameroon,125379,1974,7.369722,12.354722,28647293,61,472710
Malta,121420,885,35.937496,14.375416,535064,1672,320
Barbados,110578,648,13.193887,-59.543198,281995,656,430
Angola,107327,1937,-11.202692,17.873887,36684202,29,1246700
French Guiana,98041,420,3.9338889999999997,-53.125782,312155,4,82200
Malawi,89535,2686,-13.254308,34.301525,20931751,222,94280
Senegal,89053,1971,14.497401,-14.452362,17763163,92,192530
Suriname,82588,1408,3.919305,-56.027783,623236,4,156000
New Caledonia,80064,314,-20.904305,165.618042,292991,16,18280
French Polynesia,79254,650,-17.679742,-149.406843,308872,84,3660
Eswatini,75191,1427,-26.522503,31.465866,1210822,70,17200
Guyana,74137,1300,4.860416,-58.93018,813834,4,196850
Belize,71409,688,17.189877,-88.49765,410825,18,22810
Fiji,69117,885,-17.713371,178.065032,936375,51,18270
Madagascar,68486,1426,-18.766947,46.869107,30325732,52,581795
Sudan,63993,5046,12.862807,30.217636,48109006,27,1765048
Mauritania,63848,997,21.00789,-10.940835,4862989,5,1030700
Bhutan,62697,21,27.514162,90.433601,787424,21,38117
Syria,57743,3165,34.802075,38.996815,23227014,126,183630
Burundi,54721,38,-3.373056,29.918886,13238559,516,25680
Seychelles,51220,172,-4.679574,55.491977,107660,234,460
Gabon,49051,307,-0.803689,11.609444,2436566,9,257670
Andorra,48015,165,42.546245,1.601554,80088,170,470
Papua New Guinea,46864,670,-6.314993,143.95555,10329931,23,452860
Aruba,44224,292,12.52111,-69.968338,106277,590,180
Tanzania,43223,846,-6.369028,34.888822,67438106,76,885800
Mauritius,43025,1051,-20.348404,57.552152,1300557,641,2030
Mayotte,42027,188,-12.8275,45.166244,335995,896,375
Togo,39572,290,8.619543,0.824782,9053799,166,54390
Guinea,38572,468,9.945587,-9.696645,14190612,58,245720
Bahamas,38084,844,25.03428,-77.39628,412623,41,10010
Isle of Man,38008,116,54.236107,-4.548056,84710,149,570
Lesotho,36138,723,-29.609988,28.233608,2330318,77,30360
Haiti,34667,860,18.971187,-72.285215,11724763,425,27560
Faeroe Islands,34658,28,61.892635,-6.911806,53270,38,1396
Mali,33164,743,17.570692,-3.996166,23293698,19,1220190
Cayman Islands,31472,37,19.3133,-81.2546,69310,289,240
Saint Lucia,30215,410,13.909444,-60.978893,180251,295,610
Benin,28036,163,9.307690000000001,2.315834,13712828,122,112760
Macao,27673,123,22.198745,113.543873,704149,23472,30
Somalia,27334,1361,5.152149,46.199616,18143378,29,627340
Micronesia,26547,65,7.4256,150.5508,544321,778,700
San Marino,26185,128,43.94236,12.457777,33642,561,60
Solomon Islands,25954,199,-9.64571,160.156194,740424,26,27990
Congo,25375,386,-0.228021,15.827659,6106869,18,341500
Timor-Leste,23460,138,-8.874217,125.727539,1360596,91,14870
Burkina Faso,22114,400,12.238333,-1.561593,23251485,85,273600
Liechtenstein,21574,94,47.166,9.555373,39584,247,160
Gibraltar,20550,113,36.140751,-5.353585,32688,3269,10
Grenada,19693,238,12.262776,-61.604171,126183,371,340
Bermuda,18860,165,32.321384,-64.75737,64069,1281,50
South Sudan,18819,147,4.859363,31.571251,11088796,18,610952
Nicaragua,18491,225,12.865416,-85.207229,7046310,59,120340
Tajikistan,17786,125,38.861034,71.276093,10143543,72,139960
Equatorial Guinea,17229,183,1.650801,10.267895,1714671,61,28050
Monaco,17181,67,43.750298,7.412841,36297,24360,1
Samoa,17006,31,-13.759029,-172.104629,225681,80,2830
Tonga,16950,13,-21.178986,-175.198242,107773,150,720
Marshall Islands,16138,17,7.131474,171.184478,41996,233,180
Dominica,16038,74,15.414999,-61.370976,73040,97,750
Djibouti,15690,189,11.825137999999999,42.590275,1136455,49,23180
Vanuatu,12019,14,-15.376706,166.959158,334506,27,12190
Greenland,11971,21,71.706936,-42.604303,56643,0,410450
Yemen,11945,2159,15.552727,48.516388,34449825,65,527970
Niger,9931,312,17.607789,8.081666,27202843,21,1266700
Guinea-Bissau,9614,177,11.803749,-15.180413,2150842,76,28120
Comoros,9109,161,-11.875001,43.872219,852075,458,1861
Antigua and Barbuda,9106,146,17.060816,-61.796428,94298,214,440
Liberia,8090,295,6.428055,-9.429499,5418377,56,96320
Sierra Leone,7779,126,8.460555,-11.779889,8791092,122,72180
Chad,7701,194,15.454166,18.732207,18278568,15,1259200
British Virgin Islands,7392,64,18.420695,-64.639968,31538,210,150
Cook Islands,7203,2,-21.236736,-159.777671,17044,71,240
Nauru,5393,1,-0.522778,166.931503,12780,639,20
Kiribati,5085,24,-3.370417,-168.734039,133515,165,810
Anguilla,3904,12,18.220554,-63.068615,15899,177,90
